Sample,Mean Wind Power,MeanLoad,Standard Deviation,Average,Variability,WindShare,LowPower,MedPower,HighPower,LowVar,MedVar,HighVar,LowWind,HighWind,Checksum,,,,Max average wind power,Max average wind power,Max wind power std deviation,Max average in sample,Max std deviation in sample,Max load,Number of samples
1125,4975.940417,63355.91875,3242.382262,0.382764647,0.831380067,0.078539472,0,1,0,0,0,1,0,1,3,,,,,,,,,,
1126,7482.258333,61831.8575,1602.143782,0.575558333,0.410806098,0.121009762,0,1,0,0,1,0,0,1,3,,,,,,,,,,
1127,9192.54375,68616.10958,438.0703047,0.70711875,0.112325719,0.133970635,0,0,1,1,0,0,0,1,3,,,,,,,,,,
1128,6394.186667,68534.07917,1093.421904,0.491860513,0.280364591,0.093299374,0,1,0,1,0,0,0,1,3,,,,,,,,,,
1129,7681.105417,68537.86875,1824.438326,0.590854263,0.467804699,0.11207097,0,1,0,0,1,0,0,1,3,,,,,,,,,,
1130,9544.907083,69234.08125,1644.826725,0.734223622,0.421750442,0.137864285,0,0,1,0,1,0,0,1,3,,,,,,,,,,
1131,9691.222083,69990.91,1513.882971,0.745478622,0.388175121,0.13846401,0,0,1,0,1,0,0,1,3,,,,,,,,,,
1132,7299.219167,68719.30958,1728.886584,0.561478397,0.443304252,0.106217877,0,1,0,0,1,0,0,1,3,,,,,,,,,,
1133,5815.894583,67698.21792,1044.746431,0.447376506,0.2678837,0.085909124,0,1,0,1,0,0,0,1,3,,,,,,,,,,
1134,5669.175417,71157.73458,1596.411764,0.436090417,0.40933635,0.079670544,0,1,0,0,1,0,0,1,3,,,,,,,,,,
1135,5985.629583,71076.57958,1455.736922,0.460433045,0.373265877,0.08421381,0,1,0,0,1,0,0,1,3,,,,,,,,,,
1136,9208.907917,71587.84167,1734.754495,0.708377532,0.444808845,0.128637876,0,0,1,0,1,0,0,1,3,,,,,,,,,,
1137,3633.385417,73490.99292,1100.660421,0.279491186,0.282220621,0.049439874,1,0,0,1,0,0,1,0,3,,,,,,,,,,
1138,6455.433333,74489.55375,2702.011657,0.496571795,0.692823502,0.086662263,0,1,0,0,0,1,0,1,3,,,,,,,,,,
1139,9744.555833,67968.29708,1242.866382,0.749581218,0.318683688,0.143369133,0,0,1,0,1,0,0,1,3,,,,,,,,,,
1140,11098.82208,64425.625,1123.492828,0.853755545,0.288075084,0.17227341,0,0,1,1,0,0,0,1,3,,,,,,,,,,
1141,12428.46333,69840.88625,774.1605855,0.956035641,0.198502714,0.177953975,0,0,1,1,0,0,0,1,3,,,,,,,,,,
1142,12236.11083,70280.08333,527.8537849,0.941239295,0.135347124,0.174104956,0,0,1,1,0,0,0,1,3,,,,,,,,,,
1143,10198.0225,70561.0175,3298.843259,0.784463269,0.845857246,0.144527713,0,0,1,0,0,1,0,1,3,,,,,,,,,,
1144,6567.338333,70733.62,2531.852496,0.505179872,0.649192948,0.092846066,0,1,0,0,0,1,0,1,3,,,,,,,,,,
1145,6260.952083,73075.72292,3140.641125,0.481611699,0.805292596,0.085677594,0,1,0,0,0,1,0,1,3,,,,,,,,,,
1146,2483.75,70622.58708,786.8744063,0.191057692,0.201762668,0.035169343,1,0,0,1,0,0,1,0,3,,,,,,,,,,
1147,5512.305,69285.65542,2818.529407,0.424023462,0.722699848,0.079559109,0,1,0,0,0,1,0,1,3,,,,,,,,,,
